user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,sentiments,clean_text
Go Nuapada,Nuapada,https://t.co/3wzO0ZoKsP,2015-10-02 16:13:32,182,13,38,False,2020-08-12 09:07:35,"New 3 #COVID19 positive in the #Nuapada district.

Confirmed : 197(+3)
Recovered : 141
Active :  56(+3)… https://t.co/1E7LkSXl8x","['COVID19', 'Nuapada']",Twitter for Android,False,positive,"['new', 'covid', 'positive', 'nuapada', 'district', 'confirm', 'recover', 'active']"
Hakan Ozmen,,"Metallurgy and Materials Engineer, MBA
Sourcing and Procurement Coordinator
Dad and a citizen who wishes for all of us to be as one family :)",2018-06-07 08:12:33,127,133,5844,False,2020-08-11 07:26:10,"Perfection is the result of the right connection between everyone. There is no good without evil, and evil exists o… https://t.co/0KiLRqJp18",,Twitter Web App,False,positive,"['perfection', 'result', 'right', 'connection', 'everyone', 'good', 'without', 'evil', 'evil', 'exist']"
Michelle Evans,Chicago,"Senior Head of #Digital Research @Euromonitor. @Forbes contributor. Expert in #tech-led #commerce, #retail and #payments. #ecommerce #technology",2009-03-04 22:25:10,4361,3286,2685,False,2020-07-25 00:25:27,This is hands-down my favorite makeshift curbside pickup for #foodservice #delivery platforms in the #COVID19 era.… https://t.co/wfn0gzeaas,"['foodservice', 'delivery', 'COVID19']",Twitter for Android,False,positive,"['handsdown', 'favorite', 'makeshift', 'curbside', 'pickup', 'foodservice', 'delivery', 'platforms', 'covid', 'era']"
GK,Hyderabad,"TREAT OTHERS AS YOU WOULD LIKE TO BE TREATED 

#TDPTwitter Retweets are not endorsements 
#MedTwitter #Paediatrics #Pediatrics  #tweetiatrician",2018-04-23 06:02:20,1230,4875,14783,False,2020-07-28 04:10:24,"Sonu Sood gifts tractor to Andhra Pradesh farmer, Chandrababu Naidu lauds his efforts - 
@ncbn  took the responsibi… https://t.co/KfGVFOYUAQ",,Twitter Web App,False,positive,"['sonu', 'sood', 'gift', 'tractor', 'andhra', 'pradesh', 'farmer', 'chandrababu', 'naidu', 'laud', 'efforts', 'ncbn', 'take', 'responsibi']"
Simona Ghita,Strasbourg,🇪🇺 #digital #socmed #green 🌳🌿 ➡️ Digital #communications @CoE_HRightsRLaw #HumanRights #RuleOfLaw and @COE4AI #CoE4AI #CAHAI #AI,2009-07-02 07:08:24,597,220,2394,False,2020-07-27 06:58:35,"When apps are done in a rush, we rush to fix them 

#tracingapp #covid19 #privacy #security #publichealth  https://t.co/742BX5raIC","['tracingapp', 'covid19', 'privacy', 'security', 'publichealth']",Twitter for iPhone,False,positive,"['apps', 'do', 'rush', 'rush', 'fix', 'tracingapp', 'covid', 'privacy', 'security', 'publichealth']"
Jack Pitney,"Claremont, California","Claremont McKenna College Prof.  Author of The Politics of Autism (2015), After Reagan (2019) and Un-American: the Fake Patriotism of Donald J. Trump (2020).",2008-11-30 14:28:11,10926,1175,7258,True,2020-07-29 16:30:16,"Study: while most anti-vaxxers are ambivalent about @realDonaldTrump, many think he shares their views on vaccines,… https://t.co/gHttE24EuD",,Twitter Web App,False,positive,"['study', 'antivaxxers', 'ambivalent', 'realdonaldtrump', 'many', 'think', 'share', 'view', 'vaccines']"
Aaron Tobler,"Sacramento, CA-area",My daily crisis is what to eat for lunch.,2009-12-02 17:43:00,100,311,528,False,2020-08-09 08:06:08,"@ianbremmer @DanielleMuscato @kroger Yeah,  people are such poop heads for not wanting to get #COVID19. That's unreasonable. Ian, grow up.",['COVID19'],Twitter Web App,False,positive,"['ianbremmer', 'daniellemuscato', 'kroger', 'yeah', 'people', 'poop', 'head', 'want', 'get', 'covid', 'unreasonable', 'ian', 'grow']"
moneycontrol,Mumbai,"Moneycontrol is India’s No. 1 financial portal. Tune in for breaking news, in-depth analyses, best investment tools. Get #MCPro for exclusive content & benefits",2009-08-26 07:55:29,886557,285,980,True,2020-07-26 08:48:57,#EarningswithMC | #AsianPaints reports 66.7% year-on-year decline in net profit at Rs 218.45 crore for #Q1FY21… https://t.co/FMXKq5OqXB,"['EarningswithMC', 'AsianPaints', 'Q1FY21']",Twitter Web App,False,positive,"['earningswithmc', 'asianpaints', 'report', 'yearonyear', 'decline', 'net', 'profit', 'rs', 'crore', 'qfy']"
Allied Conferences,,"Global assembling of Academicians, Researchers, Scholars & Industry to disseminate and exchange information at 100+ Allied Academics Conferences",2018-04-12 08:10:41,980,2454,3,False,2020-07-27 06:45:09,Register and join us to know more about he drive of rehabiliaion and stay updated with the world progress in the fi… https://t.co/OxtFWXyz0j,,Hootsuite Inc.,False,positive,"['register', 'join', 'us', 'know', 'drive', 'rehabiliaion', 'stay', 'update', 'world', 'progress', 'fi']"
Aryanveda,"New Delhi, India","House of Aryanveda presents you a brand which offers nothing but the best and the most effective, dedicative products to make your life healthy and easy going.",2014-11-03 11:23:54,619,410,37,False,2020-07-29 16:16:00,"""Celebrate Raksha Bandhan with your loved ones and bless them with a gift that actually protects them. Get the Su-R… https://t.co/u5RRghjcGq",,Twitter for Android,False,positive,"['celebrate', 'raksha', 'bandhan', 'love', 'ones', 'bless', 'gift', 'actually', 'protect', 'get', 'sur']"
Tammy Duckworth,,"Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit",2013-01-03 18:59:33,668466,7075,555,True,2020-07-28 04:29:11,Let’s be clear: Republicans refused to act for MONTHS on a #COVID19 bill. They wouldn't even vote on the #HEROESAct… https://t.co/XdQdj1wlC4,"['COVID19', 'HEROESAct']",Twitter Web App,False,positive,"['let', 'clear', 'republicans', 'refuse', 'act', 'months', 'covid', 'bill', 'even', 'vote', 'heroesact']"
Dima Al-Khatib,Moldova,"UNDP Resident Representative, @undpmoldova",2015-03-27 06:26:15,772,540,4107,False,2020-08-11 09:19:07,Critical Partnership with #Sweden @annalyb to support MSMEs on the two banks of the Nistru river- alleviating the i… https://t.co/c6Hy5Ev555,['Sweden'],Twitter for iPhone,False,positive,"['critical', 'partnership', 'sweden', 'annalyb', 'support', 'msmes', 'two', 'bank', 'nistru', 'river', 'alleviate']"
TUCI,"New Delhi, India",Official account of TUCI | Retweets ≠ Endorsements,2019-05-11 09:29:47,106,25,90,True,2020-08-16 07:28:31,"#COVID19 poses unique risks to the elderly &amp; disabled.

Improving care systems &amp; leveraging technology to reduce is… https://t.co/H9TTbl4jF6",['COVID19'],IFTTT,False,positive,"['covid', 'pose', 'unique', 'risk', 'elderly', 'amp', 'disable', 'improve', 'care', 'systems', 'amp', 'leverage', 'technology', 'reduce']"
GoalTV,"London, England",⭐ Inspired By You ⭐ 🎮 #Gamer & #Streamer on @twitch 🎮 ✨ Let's stay in touch ✨ 📧 contactgoaltv@gmail.com 📧,2009-05-01 21:48:17,347,85,299,False,2020-07-28 05:04:38,Well that’s one way to do it to wear masks 😷 😹 #COVID19 #mask #meme https://t.co/EWHS1FJiE8,"['COVID19', 'mask', 'meme']",Twitter for iPhone,False,positive,"['well', 'thats', 'one', 'way', 'wear', 'mask', 'covid', 'mask', 'meme']"
Young Invincibles,,"A young adult research & advocacy group. Mobilizing our generation to advance solutions on higher education, health care, jobs, & civic engagement.",2009-08-20 03:31:54,18018,2482,15099,False,2020-07-31 17:56:00,"We must advance culturally &amp; linguistically tailored approaches, including strengthening the roles of community hea… https://t.co/Py8rSvyiKH",,TweetDeck,False,positive,"['must', 'advance', 'culturally', 'amp', 'linguistically', 'tailor', 'approach', 'include', 'strengthen', 'roles', 'community', 'hea']"
Todd Hodge,Canada,🍻 GO #FLAMES GO!!!!.,2012-12-15 19:04:55,907,333,4421,False,2020-08-09 06:01:53,"Not everything you hear is TRUE!
#covid19 #covid19sk https://t.co/kXVgFvEpGy","['covid19', 'covid19sk']",Twitter for iPhone,False,positive,"['everything', 'hear', 'true', 'covid', 'covidsk']"
Salford City Council,"Salford, UK",Latest news and alerts monitored office hours Mon to Fri. Get in touch via @SalfordCCHelp Out of hours emergency contact available at: https://t.co/Q6Ib5hwJcp,2009-02-04 12:44:06,31626,551,4196,True,2020-07-26 07:10:05,"With the impact of #COVID19, we're very keen to highlight work opportunities in Salford-based businesses. There are… https://t.co/kliwVGF1BN",['COVID19'],Orlo,False,positive,"['impact', 'covid', 'keen', 'highlight', 'work', 'opportunities', 'salfordbased', 'businesses']"
CGTN Europe,Europe,China Global Television Network in Europe,2016-12-30 13:04:07,8783,131,306,True,2020-08-01 16:02:00,Could quantum computing help find a #COVID19 treatment? Scientists believe that quantum computers - machines that u… https://t.co/riwM1RGWtT,['COVID19'],Twitter Media Studio,False,positive,"['could', 'quantum', 'compute', 'help', 'find', 'covid', 'treatment', 'scientists', 'believe', 'quantum', 'computers', 'machine', 'u']"
Mayu,,27 - Journalist / Admin Assistant - N&M🤍,2016-02-18 02:53:21,146,191,2524,False,2020-08-18 17:59:10,Please this family with #COVID19 need your help! Any donation is appreciated  👉 https://t.co/1znIIxlo4f #TuesdayMotivation,"['COVID19', 'TuesdayMotivation']",Twitter for iPhone,False,positive,"['please', 'family', 'covid', 'need', 'help', 'donation', 'appreciate', 'tuesdaymotivation']"
Betokawaii,"Arlington, TX","Hardcore Beto supporter, my previous account was permanently suspended, Kawaii. Somehow my account was hacked, I'm gonna have to start ovee from scratch.",2019-10-27 00:26:55,417,610,3643,False,2020-08-01 18:04:07,And that the parent or relative should have the option to televise or teleteach something like that to the classroo… https://t.co/d2mE1bCA2C,,Twitter for Android,False,positive,"['parent', 'relative', 'option', 'televise', 'teleteach', 'something', 'like', 'classroo']"
philラウ,,media workhorse: scriptwriter & translator,2013-04-06 06:54:26,21,23,7,False,2020-08-08 12:55:13,Whistleblower Dr. Li-Meng Yan Exposes the Chinese Communist Party’s COVI... #covid19 #ChinaVirus #CCP #中国ウイルス #中共… https://t.co/elhXaLcWRo,"['covid19', 'ChinaVirus', 'CCP', '中国ウイルス', '中共']",Twitter Web App,False,positive,"['whistleblower', 'dr', 'limeng', 'yan', 'expose', 'chinese', 'communist', 'party', 'covi', 'covid', 'chinavirus', 'ccp']"
Kganya Mogashoa,Johannesburg ,Visual Artist l korangesart@gmail.com l Instagram: https://t.co/e7C2Jzd9Vm l Creating art is my greatest passion,2015-04-11 21:49:02,67,173,258,False,2020-08-14 04:47:15,Catch me this Saturday as I showcase some of my art with @she_impressions on @TrendzOnSABC this Saturday SABC 2 14:… https://t.co/WkVCt23rVN,,Twitter for Android,False,positive,"['catch', 'saturday', 'showcase', 'art', 'impressions', 'trendzonsabc', 'saturday', 'sabc']"
𝕻𝖍𝖎𝖑𝖎𝖕 𝕺𝖇𝖎𝖓,Nigeria,"Technical Assistant (New Media), Office of the Vice President of Nigeria - @ProfOsinbajo | Opinions are mine | English by LE",2012-01-03 15:27:56,68531,2489,5535,True,2020-08-17 07:01:13,"Have a great day ahead, fam! Remember to maintain social distancing, use sanitizer, wash your hands, wear a face ma… https://t.co/9mCWNtP199",,IFTTT,False,positive,"['great', 'day', 'ahead', 'fam', 'remember', 'maintain', 'social', 'distance', 'use', 'sanitizer', 'wash', 'hand', 'wear', 'face']"
UN Development,170 countries & territories,Working to end poverty for good. Transforming our world #By2030. Follow our Administrator @ASteiner & visit https://t.co/qSU0Gpllji for more,2009-02-11 15:25:52,1546555,1594,17799,True,2020-08-11 07:00:00,Destroyed ecosystems increase the risks of deadly pandemics like #COVID19. Restoring nature's balance is the only w… https://t.co/kW0l75WKX0,['COVID19'],Twitter Media Studio,False,positive,"['destroy', 'ecosystems', 'increase', 'risk', 'deadly', 'pandemics', 'like', 'covid', 'restore', 'nature', 'balance', 'w']"
Soundar C / சௌந்தர் செ,Coimbatore/Sivakasi,"யாதும் ஊரே யாவரும் கேளிர்
💻Software Engineer🖥",2010-08-30 01:23:05,375,2624,13513,False,2020-07-25 07:39:58,"Madhya Pradesh CM Shivraj Singh Chouhan tests coronavirus positive.
#Madhya Pradesh Chief Minister #ShivrajChouhan… https://t.co/P3nftGApTG","['Madhya', 'ShivrajChouhan']",Twitter Web App,False,positive,"['madhya', 'pradesh', 'cm', 'shivraj', 'singh', 'chouhan', 'test', 'coronavirus', 'positive', 'madhya', 'pradesh', 'chief', 'minister', 'shivrajchouhan']"
Shifa Foundation,"Islamabad, Pakistan","Shifa Foundation is a Not-For-Profit organization, that aims to provide health, nutrition, education, and safe water to deprived segments of Pakistan.",2012-08-08 04:41:16,1078,302,203,False,2020-08-12 07:19:11,"#Education is Solution of all #Problems, In #Covid19 support #ShifaFoundation to bridge #EducationalGap in… https://t.co/E78VNhTIod","['Education', 'Problems', 'Covid19', 'ShifaFoundation', 'EducationalGap']",Twitter Web App,False,positive,"['education', 'solution', 'problems', 'covid', 'support', 'shifafoundation', 'bridge', 'educationalgap']"
Kapital FM Abuja 92.9,"Abuja, Nigeria","Official Twitter handle of 92.9 KapitalFM Abuja, The Station that Rocks! Follow us for interesting and informative tweets. IG: kapital929",2012-05-24 08:50:15,5112,400,621,False,2020-07-27 07:01:30,"Join us today at 3pm on our current Affairs programme ""PERSPECTIVE""  we will be  focusing ""Checking Community sprea… https://t.co/d4FUdDBHgx",,Twitter for Android,False,positive,"['join', 'us', 'today', 'pm', 'current', 'affairs', 'programme', 'perspective', 'focus', 'check', 'community', 'sprea']"
BITC Gender Equality,United Kingdom,Business in the Community’s gender equality campaign works with employers to accelerate change for women at work.,2009-04-14 11:03:53,8794,511,400,False,2020-08-11 08:30:08,"Hear from Penny James, CEO of @DLGroupMedia, on how #COVID19 has accelerated the company’s vision, changed the way… https://t.co/uQrrdiBw9l",['COVID19'],Hootsuite Inc.,False,positive,"['hear', 'penny', 'jam', 'ceo', 'dlgroupmedia', 'covid', 'accelerate', 'company', 'vision', 'change', 'way']"
Billy Gee,,"Jazz pianist/vocalist, retired public school music teacher, Nichiren Buddhist, astrologer, political news junkie.  #TheResistance #BLM #BlackLivesMatter",2009-04-07 18:30:59,1769,2514,22732,False,2020-08-13 06:53:50,"1,193 Quarantined for Covid. Is This a Successful School Reopening? https://t.co/1vIsYqjVNo -… https://t.co/x5XinsDWqN",,Twitter Web App,False,positive,"['quarantine', 'covid', 'successful', 'school', 'reopen']"
LD,"Virginia, USA","American Critical Thinker, Foodie, Anti-Zionism=Antisemitism, bridge playing conservative liberal, 2A, Pro-Israel! Coffee lover, God Bless America!",2017-10-10 01:13:15,465,507,10570,False,2020-07-29 15:58:04,"The New England Journal of Medicine says no benefits to #HCQ based on science. Science, not conspiracies.… https://t.co/tDXpJpJsXf",['HCQ'],Twitter for iPad,False,positive,"['new', 'england', 'journal', 'medicine', 'say', 'benefit', 'hcq', 'base', 'science', 'science', 'conspiracies']"
Vivek Singaram,"Mumbai, India",Indian (தமிழன்+मुंबईकर) engaged in the business of Transportation. #Gooner,2010-05-05 18:31:19,257,734,2874,False,2020-08-08 10:47:08,@sanjayips89 @AmareshWakkar Sir along with Temp check use of Oximeter is also a good way to detect and monitor heal… https://t.co/A9TWb8amPF,,Twitter for Android,False,positive,"['sanjayips', 'amareshwakkar', 'sir', 'along', 'temp', 'check', 'use', 'oximeter', 'also', 'good', 'way', 'detect', 'monitor', 'heal']"
circa metwo,,"circa metwo name is circame *backup* due to gmail password verification snafu by twitter

@circame2 is @circame1 *replacement* due to @circa.me pre-existance",2014-08-23 15:15:16,136,78,372,False,2020-08-06 14:58:14,"#MaskUp 
There Dar(n )win #COVID19 
#COVIDIOTS to be #educate 'd

https://t.co/FUCya7aQ8z","['MaskUp', 'COVID19', 'COVIDIOTS', 'educate']",Twitter Web App,False,positive,"['maskup', 'darn', 'win', 'covid', 'covidiots', 'educate']"
Dr David Cox,Email: dcwriter89@gmail.com,"Health journalist @guardian and @ObserverUK, @WiredUK, @TIME & others. 
Mental health expert, former @Cambridge_Uni neuroscientist.",2011-02-17 20:04:35,2174,138,70,False,2020-08-11 09:53:00,"""When working out the best ways to reopen schools while protecting the local community, the biggest need for string… https://t.co/3zTf7ekkwC",,TweetDeck,False,positive,"['work', 'best', 'ways', 'reopen', 'school', 'protect', 'local', 'community', 'biggest', 'need', 'string']"
Terry Simpson,"Ventura, CA ","Surgeon, host of Your Doctor's Orders podcast, author, dad, former molecular virologist, writing about healthcare in Alaska, @producergirl is my muse (and wife)",2009-01-26 23:27:45,8551,162,152,False,2020-07-31 19:15:05,"Top states for deaths from #COVID19 yesterday: Texas w 322 deaths, Florida w 252 deaths, Arizona w 172 deaths, and… https://t.co/mHTEQoJ9PO",['COVID19'],Twitter Web App,False,positive,"['top', 'state', 'deaths', 'covid', 'yesterday', 'texas', 'w', 'deaths', 'florida', 'w', 'deaths', 'arizona', 'w', 'deaths']"
Portable Restrooms,"Belmont, North Carolina","The nation's premier provider of portable restroom & shower trailers with a wide selection of new & used inventory, for sale or rent. Call us at 877-600-8645.",2011-06-03 20:57:58,413,764,1606,False,2020-08-01 18:39:00,On the blog: stay safe and have fun this summer! See our restroom reccommendations for small and socially distanced… https://t.co/KBLmga88Xo,,Loomly,False,positive,"['blog', 'stay', 'safe', 'fun', 'summer', 'see', 'restroom', 'reccommendations', 'small', 'socially', 'distance']"
Bharath Veeramalla,Hyderabad,#Loading.....,2017-12-03 09:54:15,5,7,0,False,2020-07-27 04:54:18,"@SonuSood 
Sir doing great work.
I could see techers who has given this position to us are now having agony. Please… https://t.co/gt01jnoOev",,Twitter for Android,False,positive,"['sonusood', 'sir', 'great', 'work', 'could', 'see', 'techers', 'give', 'position', 'us', 'agony', 'please']"
Khabarlazmi,,https://t.co/Y0BPEacHok is a leading Hindi News website which serves latest news updates across categories. #khabarlazmi,2020-01-01 06:36:26,464,224,69,False,2020-07-25 05:59:17,"TOP 5 LATEST BIG BREAKING NEWS RIGHT FROM THE KHABAR LAZMI NEWS BULLETIN'S DESK 
HIT THE LINK… https://t.co/TUWQNzEpDo",,Twitter Web App,False,positive,"['top', 'latest', 'big', 'break', 'news', 'right', 'khabar', 'lazmi', 'news', 'bulletin', 'desk', 'hit', 'link']"
Camp Adventure Africa,Nigeria,Youth-Led | SDGs | Grassroot | Non-traditional | Non-conventional | Not-for-profit | Impacting Africa | Adventure | Founded 2008 . VOLUNTEER with us!,2013-08-15 15:50:03,578,73,1662,False,2020-08-13 07:58:53,"Volunteering allows you sit, dine and take selfies with Kings and Queens😎.

Be a volunteer with us today and experi… https://t.co/ptaUsZKajM",,Twitter for Android,False,positive,"['volunteer', 'allow', 'sit', 'dine', 'take', 'selfies', 'kings', 'queen', 'volunteer', 'us', 'today', 'experi']"
Jasmine Yee,Sydney,Researcher | Exercise oncology and cancer survivorship @Sydney_Uni @Syd_Health | Hepatitis C @KirbyInstitute,2019-08-28 22:58:37,202,302,388,False,2020-08-04 03:14:37,Thrilled to be back in clinic @NthSydHealth after a #COVID19 research hiatus! Great discussing the many benefits of… https://t.co/gvax1oAnrB,['COVID19'],Twitter Web App,False,positive,"['thrill', 'back', 'clinic', 'nthsydhealth', 'covid', 'research', 'hiatus', 'great', 'discuss', 'many', 'benefit']"
Diwas Bhattarai,Louisiana,"Computation, music, photography, and all cliches in between | 
Composition/Guitars/Production @tshunya3 |
Graduate Student",2009-03-26 15:11:26,59,310,1029,False,2020-08-14 01:27:12,Listening to @imcurtiswaters music and lockdown got me motivated for this project. Always wanted to dive deeper int… https://t.co/wfYJQTlpnQ,,Twitter for Android,False,positive,"['listen', 'imcurtiswaters', 'music', 'lockdown', 'get', 'motivate', 'project', 'always', 'want', 'dive', 'deeper', 'int']"
Romeo Foxtrot,Divided States of Ridiculous,"Free-Thinking, Imaginative, & Unpredictable. I love my Family, my Friends, and my Country fiercely! #MAGA #MERICA #REDWAVE",2009-02-27 22:21:54,59,86,1203,False,2020-08-02 20:58:56,"Thank you in advance! #dogsoftwitter #HurricaneSeason
#COVID19
#ThanksTwitter https://t.co/6DPp4l9W3e","['dogsoftwitter', 'HurricaneSeason', 'COVID19', 'ThanksTwitter']",Twitter for Android,False,positive,"['thank', 'advance', 'dogsoftwitter', 'hurricaneseason', 'covid', 'thankstwitter']"
Eᗯᑌᖇᗩ (PhD)💧🇬🇭 🇩🇪,"München, Bayern Deutschland",#AgricEconomist|#ValueChainProfesnal|#Apiculturalist|#Beekeeper|#Blogger|#aimproverbs|#AimEduLinkResearchConsult|#Apiarist|#MUFC||#aiminspires|#aimhealthyliving,2012-02-26 12:33:46,22969,12576,115102,False,2020-08-10 15:55:37,Video: Watch Cardi's new boisterous and hilarious music video #bbnaijialockdown #Dora #COVID19 #ChicagoRiots… https://t.co/tqrOIX3y0B,"['bbnaijialockdown', 'Dora', 'COVID19', 'ChicagoRiots']",Twitter for Android,False,positive,"['video', 'watch', 'cardi', 'new', 'boisterous', 'hilarious', 'music', 'video', 'bbnaijialockdown', 'dora', 'covid', 'chicagoriots']"
Immunology_UCT,"Cape Town, South Africa","A dynamic Division of basic, applied & diagnostic immunologists at the University of Cape Town. Vision:drive science to promote world health",2014-07-03 13:24:24,545,272,111,False,2020-08-11 10:15:38,"Treating COVID-19 with IgG, should we be cautious?@Immunopaedia summarises a review by Nguyen et al. that describes… https://t.co/F5AwSKvgmy",,Twitter Web App,False,positive,"['treat', 'covid', 'igg', 'cautious', 'immunopaedia', 'summarise', 'review', 'nguyen', 'et', 'al', 'describe']"
"Prof Somashekhar Nimbalkar, MD, PGDPH, CPH, Neo","Karamsad, Anand, Gujarat-India","Goan/Gujarati. Reads widely. 50+ PAS; 150+ International Research Abstracts. Neonatologist, Prof & Head of Pediatrics. Head, Central Research Services.",2017-09-13 10:16:19,763,514,1949,False,2020-08-10 16:03:46,Just had two interesting conversations on #covid19 and local health authority(LHA). Govt LHA in open meeting with I… https://t.co/PAjw26ULol,['covid19'],Twitter for iPhone,False,positive,"['two', 'interest', 'conversations', 'covid', 'local', 'health', 'authoritylha', 'govt', 'lha', 'open', 'meet']"
Celine Cousteau,CauseCentric.org,"Filmmaker, humanitarian, environmental advocate, Founder @_CauseCentric & https://t.co/GthKpKd8rD",2009-02-01 18:14:50,29999,1099,4760,False,2020-08-18 16:11:22,"""On behalf of all of my brothers and sisters here, I beg you to help us protect ourselves from the new coronavirus.… https://t.co/kMfr9v4StQ",,Twitter Web App,False,positive,"['behalf', 'brothers', 'sisters', 'beg', 'help', 'us', 'protect', 'new', 'coronavirus']"
